,Unnamed: 0,iter1_loss,iter1_error
0,1.0,0.1545172471454134,0.0384521670270764
1,2.0,0.1238227748078866,0.0339749642128346
2,3.0,0.1230033055209618,0.0330917065147869
3,4.0,0.1182019132286676,0.0325891633417597
4,5.0,0.1183691728833532,0.0324521061127524
5,6.0,0.1208949915408434,0.0326348490847623
6,7.0,0.1169789803031854,0.0321170773307343
7,8.0,0.1171960418770009,0.0319800201017269
8,9.0,0.1178865799322621,0.0321475344927359
9,10.0,0.1175481656664575,0.0323759632077482
10,11.0,0.116782130724314,0.0323455060457467
11,12.0,0.1171371317194445,0.0321170773307343
12,13.0,0.1195952652889415,0.0320713915877318
13,14.0,0.1172908565891086,0.031797277129717
14,15.0,0.1191423155958248,0.0321170773307343
15,16.0,0.1171869449480438,0.032056163006731
16,17.0,0.1237996743992799,0.0326957634087655
17,18.0,0.1186318206842168,0.0320409344257301
18,19.0,0.1161081429329511,0.0320257058447294
19,20.0,0.1159470419890477,0.0322389059787409
20,21.0,0.1189089681944769,0.0321779916547375
21,22.0,0.1183795876530171,0.0324064203697499
22,23.0,0.116901555529515,0.0320257058447294
23,24.0,0.118374488176083,0.0319038771967228
24,25.0,0.116001432835299,0.0320409344257301
25,26.0,0.1163333390032658,0.0319038771967228
26,27.0,0.1161015238151381,0.0320866201687326
27,28.0,0.117153067032357,0.0321323059117351
28,29.0,0.115631231800622,0.0320257058447294
29,30.0,0.116609924253617,0.0323759632077482
31,,0.11710517070807004,0.03201047726372852
32,,0.11661506206773531,0.03246733469375329
33,,0.11767062402539014,0.03226936314074258
34,,0.11865274712641548,0.03246733469375329
35,,0.11864787992771508,0.032132305911735104
36,,0.1168787244621787,0.03191910577772361
37,,0.11923905095575818,0.032147534492735996
38,,0.11545773636613853,0.03228459172174336
39,,0.11702129593994719,0.03239119178874916
40,,0.11736522696038458,0.032223677397740125
41,,0.11983056202334946,0.03345719245880674
42,,0.1179329934419183,0.03243687753175162
43,,0.11614842886387382,0.032330277464745816
44,,0.1161110263176771,0.03207139158773187
45,,0.11623498455128752,0.03228459172174336
46,,0.1199829326770844,0.03284804921877382
47,,0.11648235654028764,0.032147534492735996
48,,0.11651711100186422,0.03234550604574671
49,,0.12145502187177312,0.03409679286084122
50,,0.1246273537520593,0.03211707733073432
